t_opt,t,k,official_lower,scipy_lower,official_upper,scipy_upper,max_abs_error
200,200,20,0.05136122745632504,0.05136122745632512,0.1598353048682569,0.15983530486825628,6.106226635438361e-16
200,200,22,0.05865496628721436,0.05865496628721497,0.17184382068320245,0.1718438206832022,6.106226635438361e-16
200,400,38,0.059225809761151924,0.05922580976114884,0.1354688563828925,0.1354688563828951,3.0808688933348094e-15
200,400,40,0.0632257897253813,0.06322578972538262,0.141255132164238,0.1412551321642325,5.495603971894525e-15
200,400,42,0.06725745754700722,0.06725745754700586,0.14701293428011575,0.14701293428012105,5.3013149425851225e-15
200,800,78,0.07022704390926021,0.07022704390926295,0.12657813441862178,0.12657813441861981,2.733924198139448e-15
200,800,80,0.07237149440946683,0.07237149440946931,0.12936727447263355,0.12936727447263083,2.7200464103316335e-15
200,800,82,0.0745217364976375,0.07452173649763695,0.1321512117590579,0.13215121175905437,3.524958103184872e-15
200,1600,158,0.07822718201886901,0.0782271820188769,0.11986395672020514,0.11986395672020891,7.896461262646426e-15
200,1600,160,0.07934915202959877,0.0793491520296029,0.12122095077493678,0.1212209507749318,4.98212582300539e-15
200,1600,162,0.08047218285802542,0.08047218285803014,0.12257698816358059,0.12257698816358178,4.718447854656915e-15
200,3200,318,0.08406295133931047,0.08406295133931187,0.1147694517085659,0.11476945170856963,3.733124920302089e-15
200,3200,320,0.08464156858671053,0.0846415685867161,0.11543409214315449,0.11543409214315302,5.578870698741412e-15
200,3200,322,0.08522038019576564,0.08522038019577605,0.11609855633131119,0.11609855633132009,1.0408340855860843e-14
400,25,0,0.0,0.0,0.3676163970681887,0.3676163970681851,3.608224830031759e-15
400,25,2,0.0023357103820622824,0.0023357103820623067,0.468389740639765,0.4683897406397614,3.608224830031759e-15
400,25,4,0.015861750565001297,0.015861750565001134,0.5532580482076452,0.5532580482076532,7.993605777301127e-15
400,50,3,0.0051669573909064945,0.0051669573909065005,0.2408021454121962,0.24080214541219264,3.552713678800501e-15
400,50,5,0.01691877868117521,0.01691877868117508,0.2958565224762128,0.29585652247621275,1.2836953722228372e-16
400,50,7,0.03310114409144776,0.03310114409144772,0.34650629658256615,0.34650629658256404,2.1094237467877974e-15
400,100,8,0.023602802167689556,0.02360280216768966,0.17754025828019124,0.17754025828018571,5.523359547510154e-15
400,100,10,0.03451238196087747,0.034512381960878996,0.20370029974842482,0.2037002997484241,1.5265566588595902e-15
400,100,12,0.046379861977799586,0.04637986197779966,0.22896286088898316,0.22896286088898918,6.022959908591474e-15
400,200,18,0.04378726471203619,0.04378726471203844,0.1498190152638023,0.14981901526380126,2.248201624865942e-15
400,200,20,0.05085575464466255,0.050855754644665054,0.16200942176908292,0.16200942176858132,5.015987625256457e-13
400,200,22,0.05809966292070417,0.058099662920703794,0.1740404337249155,0.17404043372491623,7.216449660063518e-16
400,400,38,0.05952978674327971,0.059529786743279335,0.13498613333726497,0.13498613333727175,6.772360450213455e-15
400,400,40,0.06354090454132037,0.06354090454131701,0.1407639339473327,0.14076393394733533,3.3584246494910985e-15
400,400,42,0.06758340161889882,0.06758340161889877,0.14651361545113256,0.1465136154511358,3.247402347028583e-15
400,800,78,0.07078803528576008,0.07078803528576097,0.1255681593315658,0.1255681593315707,4.912736883966318e-15
400,800,80,0.07294196806270216,0.07294196806270214,0.12834976096435335,0.1283497609643666,1.3239409568654992e-14
400,800,82,0.0751015601322741,0.07510156013227352,0.1311263077437492,0.13112630774374587,3.3306690738754696e-15
400,1600,158,0.07877816759672171,0.07877816759671821,0.11894405804062468,0.11894405804063032,5.648259637780484e-15
400,1600,160,0.07990441523516627,0.079904415235161,0.12029743978035824,0.12029743978034943,8.81239525796218e-15
400,1600,162,0.08103169251871749,0.0810316925187186,0.12164989936611392,0.12164989936612117,7.244205235679146e-15
400,3200,318,0.08451328671243831,0.08451328671244507,0.11406667743122448,0.11406667743122695,6.7584826624056404e-15
400,3200,320,0.08509354838167361,0.08509354838167364,0.11472986994156488,0.11472986994156345,1.429412144204889e-15
400,3200,322,0.08567399823215999,0.08567399823216651,0.11539289299942185,0.11539289299942472,6.522560269672795e-15
800,25,0,0.0,0.0,0.5164101765491818,0.5164101765491911,9.325873406851315e-15
800,25,2,0.0014548735001108843,0.0014548735001107687,0.5932526884234323,0.5932526884234701,3.785860513971784e-14
800,25,4,0.010356977068628884,0.01035697706862896,0.660024942264763,0.6600249422647726,9.547918011776346e-15
800,50,3,0.003761717749333243,0.0037617177493329277,0.3105593148385798,0.3105593148385712,8.604228440844963e-15
800,50,5,0.01282570171173683,0.01282570171173643,0.36255550367337475,0.3625555036733829,8.1601392309949e-15
800,50,7,0.0258167504958958,0.02581675049589305,0.4105997549300482,0.41059975493004236,5.828670879282072e-15
800,100,8,0.02063008983925679,0.020630089839257047,0.20137561195941153,0.2013756119593996,1.1934897514720433e-14
800,100,10,0.030522857577755778,0.030522857577754872,0.22770380421988717,0.2277038042198992,1.201816424156732e-14
800,100,12,0.04139888073065875,0.041398880730662335,0.25309471262982614,0.25309471262982713,3.587408148320037e-15
800,200,18,0.04195270819707572,0.04195270819707393,0.1567758547991495,0.15677585479914308,6.411537967210279e-15
800,200,20,0.04882477269975151,0.04882477269974852,0.16907016576128375,0.16907016576128303,2.9906632725840154e-15
800,200,22,0.05587940004380076,0.055879400043800743,0.18119650039274843,0.18119650039275043,1.9984014443252818e-15
800,400,38,0.05907386169180612,0.05907386169180794,0.13634737405400754,0.13634737405400668,1.824929096727601e-15
800,400,40,0.06306545447421535,0.06306545447421756,0.14213892002929918,0.14213892002929912,2.2065682614424986e-15
800,400,42,0.06708887031498001,0.06708887031497879,0.14790180693483534,0.14790180693483568,1.2212453270876722e-15
800,800,78,0.07102029729306177,0.07102029729306317,0.1252551059092151,0.1252551059092213,6.189493362285248e-15
800,800,80,0.07317785918670196,0.07317785918670572,0.12803383156584028,0.12803383156585058,1.0297318553398327e-14
800,800,82,0.0753410254500739,0.07534102545007267,0.13080755829229881,0.13080755829230442,5.6066262743570405e-15
800,1600,158,0.07920803754493719,0.07920803754493985,0.11828216955643941,0.11828216955644091,2.6645352591003757e-15
800,1600,160,0.08033750715555402,0.08033750715554878,0.11963276557575124,0.11963276557574871,5.23192600354605e-15
800,1600,162,0.08146798210508556,0.08146798210508786,0.12098246579188156,0.12098246579188127,2.3037127760972e-15
800,3200,318,0.08492679554758503,0.08492679554758316,0.11345818247723456,0.11345818247723398,1.8735013540549517e-15
800,3200,320,0.08550852026165136,0.08550852026163483,0.1141200442041752,0.11412004420416763,1.6528445279107018e-14
800,3200,322,0.08609042749338171,0.0860904274933712,0.1147817426690093,0.11478174266898798,2.1316282072803006e-14
1600,25,0,0.0,0.0,0.6710743388864058,0.6710743388863633,4.2521541843143495e-14
1600,25,2,0.0008271105177250925,0.0008271105177251247,0.7233219078857114,0.7233219078857172,5.773159728050814e-15
1600,25,4,0.006108919951959076,0.006108919951959273,0.7697068742792486,0.7697068742792128,3.574918139293004e-14
1600,50,3,0.002420570429793073,0.002420570429792991,0.4176561728829044,0.4176561728829553,5.090372567906343e-14
1600,50,5,0.008619202736536057,0.008619202736536094,0.4633459619328416,0.4633459619328802,3.858025010572419e-14
1600,50,7,0.017928188433588954,0.01792818843358647,0.5058644567205136,0.5058644567205699,5.6288307348495437e-14
1600,100,8,0.016347920752494294,0.01634792075249566,0.24505589917860826,0.2450558991786079,1.366962099069724e-15
1600,100,10,0.024645688697387827,0.024645688697390894,0.2712774913413038,0.2712774913413348,3.097522238704187e-14
1600,100,12,0.03393171049457048,0.03393171049456538,0.2965367645889651,0.296536764588946,1.9095836023552692e-14
1600,200,18,0.03819749461643813,0.038197494616442645,0.17153912829744453,0.1715391282974524,7.882583474838611e-15
1600,200,20,0.044654907854652856,0.044654907854650566,0.18402698477016724,0.18402698477017815,1.0907941216942163e-14
1600,200,22,0.05130891000025677,0.05130891000025841,0.19633023576405587,0.19633023576406294,7.077671781985373e-15
1600,400,38,0.05732991368403609,0.05732991368403928,0.14077157515248911,0.14077157515248478,4.3298697960381105e-15
1600,400,40,0.06124984267532035,0.06124984267531664,0.14661283681695408,0.14661283681693918,1.4904744105592727e-14
1600,400,42,0.06520331876198755,0.06520331876199009,0.1524234529265686,0.15242345292657244,3.858025010572419e-15
1600,800,78,0.07062529611497187,0.07062529611496911,0.12613814631003709,0.1261381463100366,2.761679773755077e-15
1600,800,80,0.07277585045284606,0.07277585045284289,0.12892277535397317,0.12892277535397312,3.164135620181696e-15
1600,800,82,0.0749321032316766,0.07493210323167211,0.13170229111283666,0.1317022911128393,4.4825254619240695e-15
1600,1600,158,0.07938117886583607,0.07938117886583497,0.11807284338993256,0.11807284338994077,8.215650382226158e-15
1600,1600,160,0.08051186498628408,0.08051186498628883,0.1194224340365616,0.11942243403657195,1.0352829704629585e-14
1600,1600,162,0.08164354678038313,0.08164354678038759,0.12077113825898035,0.12077113825898987,9.520162436160717e-15
1600,3200,318,0.08524848617704699,0.08524848617704642,0.1130140943435727,0.11301409434359805,2.5354718324877012e-14
1600,3200,320,0.08583131739865173,0.08583131739865127,0.11367494043123665,0.11367494043125098,1.4335754805472334e-14
1600,3200,322,0.08641432676068606,0.08641432676068371,0.11433562794649196,0.11433562794651136,1.940114735532461e-14
