t_opt,N_max,p,ASN,P50,P90,P_accept,P_reject,P_undecided,mass_residual,status
50,800,0.01,73.66672916026629,62,94,0.9999999999999594,4.0003284860047154e-14,0.0,6.661338147750939e-16,SUCCESS_EXACT
50,800,0.03,113.3708187264746,109,180,0.9999999977392385,1.836036503608133e-09,4.2472097344511294e-10,3.9968028886505635e-15,SUCCESS_EXACT
50,800,0.05,211.87715388452543,180,378,0.9985102872582828,5.201092432394513e-07,0.0014891926324646781,9.2148511043888e-15,SUCCESS_EXACT
50,800,0.07,491.2228995285847,491,800,0.7347305364306576,3.4698855477927225e-05,0.2652347647138371,2.7422508708241367e-14,SUCCESS_EXACT
50,800,0.08,653.4483290694636,800,800,0.36771771295814154,0.00022687742034388882,0.6320554096215415,2.6867397195928788e-14,SUCCESS_EXACT
50,800,0.09,746.1727173772191,800,800,0.12119054319194088,0.001465099150252898,0.877344357657827,2.0872192862952943e-14,SUCCESS_EXACT
50,800,0.1,778.3565096264302,800,800,0.032249421408216454,0.00974819274697588,0.9580023858448294,2.1760371282653068e-14,SUCCESS_EXACT
50,800,0.11,772.3427180433032,800,800,0.008830675090884596,0.05522761021122917,0.935941714697897,1.0658141036401503e-14,SUCCESS_EXACT
50,800,0.12,722.432591891698,800,800,0.0027538029538763846,0.20870735127533885,0.7885388457707855,6.661338147750939e-16,SUCCESS_EXACT
50,800,0.13,618.1778704441243,800,800,0.0009544789126789981,0.4918579817755188,0.5071875393118027,4.440892098500626e-16,SUCCESS_EXACT
50,800,0.15,359.11170014905116,316,708,0.00013693048734069255,0.935499484676888,0.06436358483576135,9.992007221626409e-15,SUCCESS_EXACT
50,800,0.2,118.6464416696074,105,208,1.6356936603932663e-06,0.9999981336720373,2.306343106874159e-07,8.43769498715119e-15,SUCCESS_EXACT
50,800,0.3,45.04273365844278,42,71,2.7250881518733456e-10,0.9999999997274871,0.0,4.107825191113079e-15,SUCCESS_EXACT
50,1600,0.01,73.66672916026629,62,94,0.9999999999999594,4.0003284860047154e-14,0.0,6.661338147750939e-16,SUCCESS_EXACT
50,1600,0.03,113.37081873885232,109,180,0.9999999981639593,1.836036503608133e-09,0.0,4.107825191113079e-15,SUCCESS_EXACT
50,1600,0.05,212.0103754250056,180,378,0.9999993781524145,5.201092432394513e-07,1.0173833285148406e-07,9.43689570931383e-15,SUCCESS_EXACT
50,1600,0.07,588.1081881571404,491,1226,0.9617144925965293,3.46989042246507e-05,0.038250808499213355,3.26405569239796e-14,SUCCESS_EXACT
50,1600,0.08,1044.500964421466,1157,1600,0.6369678397727057,0.0002269650207612615,0.36280519520657634,4.3298697960381105e-14,SUCCESS_EXACT
50,1600,0.09,1417.523579819145,1600,1600,0.1947996416941682,0.0014951777741874183,0.8037051805316839,3.952393967665557e-14,SUCCESS_EXACT
50,1600,0.1,1540.8947176639758,1600,1600,0.03812570011263433,0.012204871388679818,0.9496694284987283,4.241051954068098e-14,SUCCESS_EXACT
50,1600,0.11,1501.9306326960777,1600,1600,0.00902616628926595,0.10252554809890811,0.888448285611847,2.1094237467877974e-14,SUCCESS_EXACT
50,1600,0.12,1260.273499445041,1600,1600,0.00275756308585779,0.43827360645848473,0.5589688304556585,8.881784197001252e-16,SUCCESS_EXACT
